"DATA","CASA","PROMOÇÃO/OBJETIVO","ENTREGUES","CUSTO"
"01/07","SuperBet","[30/06] DISP TOTAL 01/07 BASE FEV ODD 1K","16.741,00","R$ 2.176,33"
"01/07","SuperBet","[30/06] DISP TOTAL 01/07 BASE MAR ODD 1K","56.517,00","R$ 7.347,21"
"01/07","SuperBet","[30/06] DISP TOTAL 01/07 BASE ABRIL ODD 1K","98.950,00","R$ 12.863,50"
"01/07","SuperBet","[30/06] DISP TOTAL 01/07 BASE MAIO ODD 1K","113.166,00","R$ 14.711,58"
"01/07","SuperBet","[30/06] DISP TOTAL 01/07 BASE JUN1 ODD 1K","205.014,00","R$ 26.651,82"
"01/07","SuperBet","[30/06] DISP TOTAL 01/07 BASE JUN2 ODD 1K","11.717,00","R$ 1.523,21"
"02/07","SuperBet","[01/07] DISP TOTAL 02/06 BASE MAR CR7 500X","51.907,00","R$ 6.747,91"
"02/07","SuperBet","[01/07] DISP TOTAL 02/07 BASE ABRIL CR7 500X","77.689,00","R$ 10.099,57"
"02/07","SuperBet","[01/07] DISP TOTAL 02/07 BASE MAIO CR7 500X","80.478,00","R$ 10.462,14"
"02/07","SuperBet","[01/07] DISP TOTAL 02/07 BASE JUNHO CR7 500X","140.872,00","R$ 18.313,36"
"02/07","SuperBet","[01/07] DISP TOTAL 02/07 BASE JULHO CR7 500X","20.535,00","R$ 2.669,55"
"03/07","SuperBet","[02/07] DISP TOTAL 03/07 BASE MARÇO MESSI 5K","50.034,00","R$ 6.504,42"
"03/07","SuperBet","[02/07] DISP TOTAL 03/07 BASE ABRIL MESSI 5K","76.889,00","R$ 9.995,57"
"03/07","SuperBet","[02/07] DISP TOTAL 03/07 BASE MAIO MESSI 5K","79.192,00","R$ 10.294,96"
"03/07","SuperBet","[02/07] DISP TOTAL 03/07 BASE JUNHO MESSI 5K","137.705,00","R$ 17.901,65"
"03/07","SuperBet","[02/07] DISP TOTAL 03/07 BASE JULHO MESSI 5K","41.226,00","R$ 5.359,38"
"04/07","SuperBet","[03/07] DISP TOTAL 04/07 BASE MARÇO MBAPPE","50.526,00","R$ 6.568,38"
"04/07","SuperBet","[03/07] DISP TOTAL 04/07 BASE ABRIL MBAPPE","76.756,00","R$ 9.978,28"
"04/07","SuperBet","[03/07] DISP TOTAL 04/07 BASE MAIO MBAPPE","78.140,00","R$ 10.158,20"
"04/07","SuperBet","[03/07] DISP TOTAL 04/07 BASE JUNHO MBAPPE","135.242,00","R$ 17.581,46"
"04/07","SuperBet","[03/07] DISP TOTAL 04/07 BASE JULHO MBAPPE","54.813,00","R$ 7.125,69"
"05/07","MGMBET","[04/06] DISP TOTAL 05/07 BASE FEVEREIRO BRASIL ODM","15.999,00","R$ 2.079,87"
"05/07","MGMBET","[04/07] DISP TOTAL 05/07 BASE MARÇO BRASIL ODM","50.011,00","R$ 6.501,43"
"05/07","SuperBet","[04/06] DISP TOTAL 05/07 BASE ABRIL BRASIL ODM","76.026,00","R$ 9.883,38"
"05/07","SuperBet","[04/06] DISP TOTAL 05/07 BASE MAIO BRASIL ODM","77.358,00","R$ 10.056,54"
"05/07","SuperBet","[04/06] DISP TOTAL 05/07 BASE JUNHO BRASIL ODM","134.321,00","R$ 17.461,73"
"05/07","SuperBet","[04/06] DISP TOTAL 05/07 BASE JULHO BRASIL ODM","64.666,00","R$ 8.406,58"
"06/07","MGMBET","[06/07] DISP TOTAL 06/07 BASE FEVEREIRO CR7 ODM","15.836,00","R$ 2.058,68"
"06/07","MGMBET","[06/07] DISP TOTAL 06/07 BASE MARÇO CR7 ODM","49.475,00","R$ 6.431,75"
"06/07","SuperBet","[06/07] DISP TOTAL 06/07 BASE ABRIL CR7 ODM","90.440,00","R$ 11.757,20"
"06/07","SuperBet","[06/07] DISP TOTAL 06/07 BASE MAIO CR7 ODM","76.541,00","R$ 9.950,33"
"06/07","SuperBet","[06/07] DISP TOTAL 06/07 BASE JUNHO CR7 ODM","132.471,00","R$ 17.221,23"
"06/07","SuperBet","[06/07] DISP TOTAL 06/07 BASE JULHO CR7 ODM","79.889,00","R$ 10.385,57"
"07/07","SuperBet","[06/07] DISP TOTAL 07/07 BASE ABRIL MESSI 7777","74.376,00","R$ 9.668,88"
"07/07","SuperBet","[06/07] DISP TOTAL 07/07 BASE MAIO MESSI 7777","75.659,00","R$ 9.835,67"
"07/07","SuperBet","[06/07] DISP TOTAL 07/07 BASE JUNHO MESSI 7777","130.596,00","R$ 16.977,48"
"07/07","SuperBet","[06/07] DISP TOTAL 07/07 BASE JULHO MESSI 7777","77.940,00","R$ 10.132,20"
"08/07","SuperBet","[07/07] DISP TOTAL 08/07 BASE SB D1","1.461,00","R$ 189,93"
"08/07","SuperBet","[07/07] DISP TOTAL 08/07 BASE MGM D1","1.399,00","R$ 181,87"
"09/07","SuperBet","[08/07] DISP TOTAL 09/07 BASE SUPER D1","956,00","R$ 124,28"
"09/07","SuperBet","[08/07] DISP TOTAL 09/07 BASE MGM D1","924,00","R$ 120,12"
"09/07","SuperBet","[08/07] DISP TOTAL 09/07 BASE BETE D1","1.351,00","R$ 175,63"
"09/07","SuperBet","[08/07] DISP TOTAL 09/07 BASE VAIDEBET D1","363,00","R$ 47,19"
"10/07","SuperBet","DISP TOTAL SEM RISCO SUPER","240.727,00","R$ 31.294,51"
"10/07","SuperBet","[09/07] DISP TOTAL 10/07 BASE MGM D1","1.374,00","R$ 178,62"
"10/07","SuperBet","[09/07] DISP TOTAL 10/07 BASE VAIDEBET D1","1.362,00","R$ 177,06"
"10/07","SuperBet","[09/07] DISP TOTAL 10/07 BASE BETE D1","1.058,00","R$ 137,54"
"10/07","MGMBET","[09/07] DISP TOTAL 10/07 BASE SB D3","1.434,00","R$ 186,42"
"10/07","MGMBET","[09/07] DISP TOTAL 10/07 BASE MGM D3","1.391,00","R$ 180,83"
"11/07","SuperBet","[10/07] DISP TOTAL 11/07 BASE SB D1","981,00","R$ 127,53"
"11/07","SuperBet","	[10/07] DISP TOTAL 11/07 BASE MGM D1","706,00","R$ 91,78"
"11/07","SuperBet","[10/07] DISP TOTAL 11/07 BASE BETE D1","143,00","R$ 18,59"
"11/07","MGMBET","	[10/07] DISP TOTAL 11/07 BASE SB D3","942,00","R$ 122,46"
"11/07","MGMBET","[10/07] DISP TOTAL 11/07 BASE MGM D3","920,00","R$ 119,60"
"11/07","MGMBET","	[10/07] DISP TOTAL 11/07 BASE BETE D3","1.349,00","R$ 175,37"
"11/07","MGMBET","	[10/07] DISP TOTAL 11/07 BASE VAIDEBET D3","376,00","R$ 48,88"
"12/07","SuperBet","[11/07] DISP TOTAL 12/07 BASE MGM D1","912,00","R$ 118,56"
"12/07","SuperBet","[11/07] DISP TOTAL 12/07 BASE SB D1","1.120,00","R$ 145,60"
"12/07","MGMBET","[11/07] DISP TOTAL 12/07 BASE MGM D3","1.254,00","R$ 163,02"
"12/07","MGMBET","[11/07] DISP TOTAL 12/07 BASE VAIDEBET D3","1.262,00","R$ 164,06"
"12/07","MGMBET","[11/07] DISP TOTAL 12/07 BASE BETESPORTE D3","998,00","R$ 129,74"
"12/07","SuperBet","[11/07] DISP TOTAL 12/07 BASE MGM D5","1.279,00","R$ 166,27"
"12/07","SuperBet","[11/07] DISP TOTAL 12/07 BASE SB D5","1.285,00","R$ 167,05"
"13/07","SuperBet","[13/07] DISP TOTAL 13/07 BASE SB D1","851,00","R$ 110,63"
"13/07","MGMBET","[13/07] DISP TOTAL 13/07 BASE SB D3","899,00","R$ 116,87"
"13/07","MGMBET","[13/07] DISP TOTAL 13/07 BASE MGM D3","663,00","R$ 86,19"
"13/07","MGMBET","[13/07] DISP TOTAL 13/07 BASE BETE D3","138,00","R$ 17,94"
"13/07","SuperBet","[13/07] DISP TOTAL 13/07 BASE SB D5","875,00","R$ 113,75"
"13/07","SuperBet","[13/07] DISP TOTAL 13/07 BASE MGM D5","872,00","R$ 113,36"
"13/07","SuperBet","[13/07] DISP TOTAL 13/07 BASE BETE D5","1.295,00","R$ 168,35"
"14/07","SuperBet","[13/06] DISP TOTAL 14/07 BASE JUN/JULHO SEMIFINAL 01","229.144,00","R$ 29.788,72"
"14/07","MGMBET","[13/07] DISP TOTAL 14/07 BASE SB D3","933,00","R$ 121,29"
"14/07","MGMBET","[13/07] DISP TOTAL 14/07 BASE MGM D3","758,00","R$ 98,54"
"14/07","SuperBet","	[13/07] DISP TOTAL 14/07 BASE MGM D5","1.102,00","R$ 143,26"
"14/07","SuperBet"," [13/07] DISP TOTAL 14/07 BASE BETE D5","204,00","R$ 26,52"
"14/07","SuperBet"," [13/07] DISP TOTAL 14/07 BASE VDB D5","1.108,00","R$ 144,04"
"14/07","MGMBET"," [13/07] DISP TOTAL 14/07 BASE SB D7","1.139,00","R$ 148,07"
"14/07","MGMBET","[13/07] DISP TOTAL 14/07 BASE MGM D7","1.149,00","R$ 149,37"
