DATA,CASA,PROMOÇÃO/OBJETIVO,UTMs / PIDs,LUCRO/PREJUIZO,ROAS,ENTREGUES,LIDAS,CUSTO,CONV,CONV ftd,C.REG,C.FTD,REGISTROS,FTD,CPAS,CPA ,REG > FTD,FTD > CPA
01/07,SuperBet,[30/06] DISP TOTAL 01/07 BASE FEV ODD 1K,pilhado-disp-total-sb-1K-fev,"-R$ 1.119,50","0,57","20.150,00",,"R$ 2.619,50","0,08%","0,03%","R$ 163,72","R$ 374,21","16,00","7,00","3,00","R$ 1.500,00","43,75%","42,86%"
01/07,SuperBet,[30/06] DISP TOTAL 01/07 BASE MAR ODD 1K,pilhado-disp-total-sb-1K-mar,"R$ 7.254,51","1,83","67.273,00",,"R$ 8.745,49","0,17%","0,08%","R$ 76,05","R$ 168,18","115,00","52,00","32,00","R$ 16.000,00","45,22%","61,54%"
01/07,SuperBet,[30/06] DISP TOTAL 01/07 BASE ABRIL ODD 1K,pilhado-disp-total-sb-1K-abril,"R$ 6.207,32","1,41","117.636,00",,"R$ 15.292,68","0,11%","0,05%","R$ 120,41","R$ 263,67","127,00","58,00","43,00","R$ 21.500,00","45,67%","74,14%"
01/07,SuperBet,[30/06] DISP TOTAL 01/07 BASE MAIO ODD 1K,pilhado-disp-total-sb-1K-maio,"R$ 4.810,90","1,27","136.070,00",,"R$ 17.689,10","0,13%","0,04%","R$ 102,84","R$ 333,76","172,00","53,00","45,00","R$ 22.500,00","30,81%","84,91%"
01/07,SuperBet,[30/06] DISP TOTAL 01/07 BASE JUN1 ODD 1K,pilhado-disp-total-sb-1K-jun1,"R$ 30.307,34","1,93","251.482,00",,"R$ 32.692,66","0,19%","0,09%","R$ 67,83","R$ 145,95","482,00","224,00","126,00","R$ 63.000,00","46,47%","56,25%"
01/07,SuperBet,[30/06] DISP TOTAL 01/07 BASE JUN2 ODD 1K,pilhado-disp-total-sb-1K-jun2,"R$ 6.651,01","4,60","14.223,00",,"R$ 1.848,99","0,54%","0,27%","R$ 24,01","R$ 47,41","77,00","39,00","17,00","R$ 8.500,00","50,65%","43,59%"
02/07,SuperBet,[01/07] DISP TOTAL 02/06 BASE MAR CR7 500X,pilhado-disp-total-sb-cr7-mar,"R$ 11.560,27","2,37","64.921,00",,"R$ 8.439,73","0,22%","0,10%","R$ 59,43","R$ 129,84",142,65,"40,00","R$ 20.000,00","45,77%","61,54%"
02/07,SuperBet,[01/07] DISP TOTAL 02/07 BASE ABRIL CR7 500X,pilhado-disp-total-sb-cr7-abril,"R$ 14.189,80","2,11","98.540,00",,"R$ 12.810,20","0,16%","0,08%","R$ 83,18","R$ 154,34",154,83,"54,00","R$ 27.000,00","53,90%","65,06%"
02/07,SuperBet,[01/07] DISP TOTAL 02/07 BASE MAIO CR7 500X,pilhado-disp-total-sb-cr7-maio,"R$ 16.993,13","2,26","103.899,00",,"R$ 13.506,87","0,16%","0,09%","R$ 80,88","R$ 151,76",167,89,"61,00","R$ 30.500,00","53,29%","68,54%"
02/07,SuperBet,[01/07] DISP TOTAL 02/07 BASE JUNHO CR7 500X,pilhado-disp-total-sb-cr7-junho,"R$ 64.618,52","3,60","191.396,00",,"R$ 24.881,48","0,31%","0,16%","R$ 42,39","R$ 82,12",587,303,"179,00","R$ 89.500,00","51,62%","59,08%"
