"DATA","CASA","PROMOÇÃO/OBJETIVO","UTMs / PIDs","LUCRO/PREJUIZO","ROAS","ENTREGUES","LIDAS","CUSTO","CONV","CONV ftd","C.REG","C.FTD","REGISTROS","FTD","CPAS","CPA ","REG > FTD","FTD > CPA"
"01/07","SuperBet","[30/06] DISP TOTAL 01/07 BASE FEV ODD 1K","pilhado-disp-total-sb-1K-fev","R$ -676,33","0,69","16.741,00","8.312,00","R$ 2.176,33","0,08%","0,03%","R$ 136,02","R$ 310,90","16,00","7,00","3,00","R$ 1.500,00","43,75%","42,86%"
"01/07","SuperBet","[30/06] DISP TOTAL 01/07 BASE MAR ODD 1K","pilhado-disp-total-sb-1K-mar","R$ 8.652,79","2,18","56.517,00","33.819,00","R$ 7.347,21","0,17%","0,08%","R$ 65,02","R$ 141,29","113,00","52,00","32,00","R$ 16.000,00","46,02%","61,54%"
"01/07","SuperBet","[30/06] DISP TOTAL 01/07 BASE ABRIL ODD 1K","pilhado-disp-total-sb-1K-abril","R$ 8.636,50","1,67","98.950,00","56.915,00","R$ 12.863,50","0,11%","0,05%","R$ 101,29","R$ 221,78","127,00","58,00","43,00","R$ 21.500,00","45,67%","74,14%"
"01/07","SuperBet","[30/06] DISP TOTAL 01/07 BASE MAIO ODD 1K","pilhado-disp-total-sb-1K-maio","R$ 7.788,42","1,53","113.166,00","64.962,00","R$ 14.711,58","0,13%","0,04%","R$ 96,79","R$ 201,53","152,00","73,00","45,00","R$ 22.500,00","48,03%","61,64%"
"01/07","SuperBet","[30/06] DISP TOTAL 01/07 BASE JUN1 ODD 1K","pilhado-disp-total-sb-1K-jun1","R$ 36.348,18","2,36","205.014,00","119.121,00","R$ 26.651,82","0,19%","0,09%","R$ 56,47","R$ 118,98","472,00","224,00","126,00","R$ 63.000,00","47,46%","56,25%"
"01/07","SuperBet","[30/06] DISP TOTAL 01/07 BASE JUN2 ODD 1K","pilhado-disp-total-sb-1K-jun2","R$ 6.976,79","5,58","11.717,00","6.897,00","R$ 1.523,21","0,54%","0,27%","R$ 19,78","R$ 39,06","77,00","39,00","17,00","R$ 8.500,00","50,65%","43,59%"
"02/07","SuperBet","[01/07] DISP TOTAL 02/06 BASE MAR CR7 500X","pilhado-disp-total-sb-cr7-mar","R$ 13.252,09","2,96","51.907,00","30.055,00","R$ 6.747,91","0,22%","0,10%","R$ 48,55","R$ 103,81","139,00","65,00","40,00","R$ 20.000,00","46,76%","61,54%"
"02/07","SuperBet","[01/07] DISP TOTAL 02/07 BASE ABRIL CR7 500X","pilhado-disp-total-sb-cr7-abril","R$ 16.900,43","2,67","77.689,00","42.836,00","R$ 10.099,57","0,16%","0,08%","R$ 66,01","R$ 121,68","153,00","83,00","54,00","R$ 27.000,00","54,25%","65,06%"
"02/07","SuperBet","[01/07] DISP TOTAL 02/07 BASE MAIO CR7 500X","pilhado-disp-total-sb-cr7-maio","R$ 20.037,86","2,92","80.478,00","43.276,00","R$ 10.462,14","0,16%","0,09%","R$ 63,79","R$ 117,55","164,00","89,00","61,00","R$ 30.500,00","54,27%","68,54%"
"02/07","SuperBet","[01/07] DISP TOTAL 02/07 BASE JUNHO CR7 500X","pilhado-disp-total-sb-cr7-junho","R$ -18.313,36","0,00","140.872,00","76.778,00","R$ 18.313,36","0,31%","0,16%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
