DATA,CASA,UTM/PID,PROMOÇÃO/OBJETIVO,LUCRO/PREJUIZO,ROAS,ENTREGUES,LIDAS,CLIQUES,TX LIDAS,TX CLIQUES,CUSTO,CONV,CONV ftd,C.REG,C.FTD,REGISTROS,FTD,CPAS,CPA 
07/06,SuperBet,pilhado-disp-traf-sb-d1,ODD 100 - Base Super - D1 - 06/06,"R$ 1.434,51","9,67","1.273,00","910,00",7847,"71,48%","616,42%","R$ 165,49","1,10%","0,63%","R$ 11,82","R$ 20,69","14,00","8,00","8,00",
08/06,SuperBet,pilhado-disp-traf-sb-d1,ODD 100 - Base Super - D1 - 07/06,"R$ 455,96","4,17","1.108,00","794,00",,"71,66%","0,00%","R$ 144,04","0,99%","0,27%","R$ 13,09","R$ 48,01","11,00","3,00","3,00",
09/06,SuperBet,pilhado-disp-traf-sb-d1,ODD 100 - Base Super - D1 - 08/06,"R$ 1.491,19","14,70","837,00","598,00",,"71,45%","0,00%","R$ 108,81","1,43%","0,96%","R$ 9,07","R$ 13,60","12,00","8,00","8,00",
09/06,SuperBet,pilhado-disp-traf-mgm-d3,ODD 330 - Base MGM - D3 - 08/06,"R$ 1.446,08","10,40","1.184,00","698,00",4919,"58,95%","415,46%","R$ 153,92","1,18%","0,68%","R$ 10,99","R$ 19,24","14,00","8,00","8,00",
09/06,SuperBet,pilhado-disp-traf-esp-d3,ODD 330 - Base Esportiva - D3 - 08/06 - WPP,"R$ 12.315,97","6,91","16.031,00","9.497,00",4684,"59,24%","29,22%","R$ 2.084,03","0,89%","0,45%","R$ 14,68","R$ 28,94","142,00","72,00","72,00",
09/06,SuperBet,pilhado-disp-traf-bete-d3,ODD 330 - Base BeteEsporte - D3 - 08/06 - FORM,"R$ 6.892,78","5,57","11.594,00","6.078,00",3426,"52,42%","29,55%","R$ 1.507,22","0,56%","0,36%","R$ 23,19","R$ 35,89","65,00","42,00","42,00",
10/06,SuperBet,pilhado-disp-traf-sb-d1,ODD 100 - Base Super - D1 - 09/06,"-R$ 37,05","0,00","285,00","188,00",,"65,96%","0,00%","R$ 37,05","0,00%","0,00%",,,"1,00","1,00","1,00",
10/06,SuperBet,pilhado-disp-traf-mgm-d3,ODD 330 - Base MGM - D3 - 09/06,"R$ 337,37","3,07","1.251,00","779,00",,"62,27%","0,00%","R$ 162,63","0,40%","0,16%","R$ 32,53","R$ 81,32","5,00","2,00","2,00",
10/06,SuperBet,pilhado-disp-traf-bete-d3,ODD 330 - Base BeteEsporte - D3 - 09/06 - FORM,"R$ 1.036,02","5,84","1.646,00","933,00",,"56,68%","0,00%","R$ 213,98","0,49%","0,30%","R$ 26,75","R$ 42,80","8,00","5,00","5,00",
11/06,SuperBet,pilhado-disp-traf-sb-d1,ODD 100 - Base Super - D1 - 10/06,"R$ 226,34","10,57","182,00","114,00",,"62,64%","0,00%","R$ 23,66","0,55%","0,55%","R$ 23,66","R$ 23,66","1,00","1,00","1,00",
11/06,SuperBet,pilhado-disp-traf-mgm-d3,ODD 330 - Base MGM - D3 - 08/06,"R$ 403,41","5,18","743,00","431,00",,"58,01%","0,00%","R$ 96,59","0,27%","0,27%","R$ 48,30","R$ 48,30","2,00","2,00","2,00",
11/06,SuperBet,pilhado-disp-traf-esp-d3,ODD 330 - Base Esportiva - D3 - 08/06 - WPP,"-R$ 123,50","0,00","950,00","531,00",,"55,89%","0,00%","R$ 123,50","0,00%","0,00%",,,"0,00","0,00","0,00",
11/06,SuperBet,pilhado-disp-traf-bete-d3,ODD 330 - Base BeteEsporte - D3 - 08/06 - FORM,"R$ 123,39","1,33","2.897,00","1.637,00",,"56,51%","0,00%","R$ 376,61","0,17%","0,00%","R$ 75,32",,"4,00","1,00","1,00",
11/06,SuperBet,pilhado-disp-traf-sb-d5,ODD 1750 - Base Super - D5 - 06/06,"-R$ 149,24","0,00","1.148,00","686,00",2184,"59,76%","190,24%","R$ 149,24","0,00%","0,00%",,,"0,00","0,00","0,00",
12/06,SuperBet,pilhado-disp-traf-sb-d1,ODD 100 - Base Super - D1 - 11/06,"R$ 1.049,15","6,22","1.545,00","955,00",,"61,81%","0,00%","R$ 200,85","0,58%","0,32%","R$ 22,32","R$ 40,17","9,00","5,00","5,00",
12/06,SuperBet,pilhado-disp-traf-mgm-d3,ODD 330 - Base MGM - D3 - 09/06,"R$ 1.071,77","7,01","1.371,00","911,00",,"66,45%","0,00%","R$ 178,23","0,66%","0,36%","R$ 19,80","R$ 35,65","9,00","5,00","5,00",
12/06,SuperBet,pilhado-disp-traf-esp-d3,ODD 330 - Base Esportiva - D3 - 09/06 ,"R$ 737,40","3,81","2.020,00","1.201,00",,"59,46%","0,00%","R$ 262,60","0,54%","0,20%","R$ 23,87","R$ 65,65","11,00","6,00","6,00",
12/06,SuperBet,pilhado-disp-traf-sb-d5,ODD 1750 - Base Super - D5 - 07/06,"R$ 618,44","5,70","1.012,00","674,00",,"66,60%","0,00%","R$ 131,56","1,09%","0,30%","R$ 11,96","R$ 43,85","11,00","3,00","3,00",
13/06,SuperBet,pilhado-disp-traf-sb-d1,ODD 100 - Base Super - D1 - 12/06,"R$ 937,60","16,03","480,00","318,00",,"66,25%","0,00%","R$ 62,40","1,67%","0,83%","R$ 7,80","R$ 15,60","8,00","5,00","5,00",
13/06,SuperBet,pilhado-disp-traf-mgm-d3,ODD 330 - Base MGM - D3 - 10/06,"R$ 74,50","1,42","1.350,00","879,00",,"65,11%","0,00%","R$ 175,50","0,30%","0,07%","R$ 43,88","R$ 175,50","4,00","1,00","1,00",
13/06,SuperBet,pilhado-disp-traf-sb-d5,ODD 1750 - Base Super - D5 - 08/06,"R$ 646,52","7,25","796,00","519,00",,"65,20%","0,00%","R$ 103,48","0,63%","0,38%","R$ 20,70","R$ 34,49","5,00","3,00","3,00",
13/06,SuperBet,pilhado-disp-traf-mgm-d7,ODD 1750 - Base MGM - D7 - 06/06,"R$ 604,40","5,15","1.120,00","571,00",1935,"50,98%","172,77%","R$ 145,60","0,45%","0,27%","R$ 29,12","R$ 48,53","5,00","3,00","3,00",
13/06,SuperBet,pilhado-disp-traf-esp-d7,ODD 1750 - Base Esportiva - D7 - 06/06 - WPP,"-R$ 178,56","0,89","12.912,00","6.676,00",1960,"51,70%","15,18%","R$ 1.678,56","0,17%","0,05%","R$ 76,30","R$ 279,76","22,00","6,00","6,00",
13/06,SuperBet,pilhado-disp-traf-bete-d7,ODD 1750 - Base BeteEsporte - D7 - 06/06 - FORM,"R$ 8.598,21","7,13","10.783,00","4.541,00",1598,"42,11%","14,82%","R$ 1.401,79","0,67%","0,37%","R$ 19,47","R$ 35,04","72,00","40,00","40,00",
14/06,SuperBet,pilhado-disp-traf-sb-d1,ODD 100 - Base Super - D1 - 13/06,"R$ 2.027,70","10,12","1.710,00","1.083,00",,"63,33%","0,00%","R$ 222,30","0,70%","0,53%","R$ 18,53","R$ 24,70","12,00","10,00","10,00",
14/06,SuperBet,pilhado-disp-traf-mgm-d3,ODD 330 - Base MGM - D3 - 11/06,"R$ 407,05","5,38","715,00","384,00",,"53,71%","0,00%","R$ 92,95","0,14%","0,28%","R$ 92,95","R$ 46,48","1,00","2,00","2,00",
14/06,SuperBet,pilhado-disp-traf-esp-d3,ODD 330 - Base Esportiva - D3 - 11/06 - WPP,"R$ 135,47","2,18","881,00","455,00",,"51,65%","0,00%","R$ 114,53","0,00%","0,11%",,"R$ 114,53","0,00","0,00","0,00",
14/06,SuperBet,pilhado-disp-traf-bete-d3,ODD 330 - Base BeteEsporte - D3 - 11/06 - FORM,"R$ 387,04","2,07","2.792,00","1.414,00",,"50,64%","0,00%","R$ 362,96","0,21%","0,11%","R$ 60,49","R$ 120,99","4,00","1,00","1,00",
14/06,SuperBet,pilhado-disp-traf-sb-d5,ODD 1750 - Base Super - D5 - 09/06,"-R$ 34,71","0,00","267,00","150,00",,"56,18%","0,00%","R$ 34,71","0,00%","0,00%",,,"0,00","0,00","0,00",
14/06,SuperBet,pilhado-disp-traf-mgm-d7,ODD 1750 - Base MGM - D7 - 07/06,"R$ 95,95","1,62","1.185,00","641,00",,"54,09%","0,00%","R$ 154,05","0,17%","0,08%","R$ 77,03","R$ 154,05","2,00","1,00","1,00",
14/06,SuperBet,pilhado-disp-traf-bete-d7,ODD 1750 - Base BeteEsporte - D7 - 07/06 - FORM,"R$ 47,98","1,24","1.554,00","783,00",,"50,39%","0,00%","R$ 202,02","0,13%","0,06%","R$ 101,01","R$ 202,02","2,00","1,00","1,00",
15/06,SuperBet,pilhado-disp-traf-sb-d1,ODD 100 - Base Super - D1 - 13/06,"R$ 162,64","2,86","672,00","417,00",,"62,05%","0,00%","R$ 87,36","0,15%","0,30%","R$ 87,36","R$ 43,68","2,00","2,00","2,00",
15/06,SuperBet,pilhado-disp-traf-mgm-d3,ODD 330 - Base MGM - D3 - 11/06,"R$ 1.445,92","27,74","416,00","244,00",,"58,65%","0,00%","R$ 54,08","1,92%","1,44%","R$ 6,76","R$ 9,01","8,00","6,00","6,00",
15/06,SuperBet,pilhado-disp-traf-sb-d5,ODD 1750 - Base Super - D5 - 06/06,"-R$ 99,45","0,00","765,00","455,00",,"59,48%","0,00%","R$ 99,45","0,13%","0,00%","R$ 99,45",,"1,00","0,00","0,00",
15/06,SuperBet,pilhado-disp-traf-mgm-d7,ODD 100 - Base MGM - D7 - 06/06,"R$ 1.058,90","6,54","1.470,00","820,00",,"55,78%","0,00%","R$ 191,10","0,68%","0,34%","R$ 19,11","R$ 38,22","10,00","5,00","5,00",
15/06,SuperBet,pilhado-disp-traf-esp-d7,ODD 100 - Base Esportiva - D7 - 06/06 - WPP,"R$ 168,36","3,06","628,00","334,00",,"53,18%","0,00%","R$ 81,64","0,64%","0,16%","R$ 20,41","R$ 81,64","4,00","1,00","1,00",
15/06,SuperBet,pilhado-disp-traf-bete-d7,ODD 100 - Base BeteEsporte - D7 - 06/06 - FORM,"R$ 65,92","1,36","1.416,00","706,00",,"49,86%","0,00%","R$ 184,08","0,07%","0,07%","R$ 184,08","R$ 184,08","1,00","1,00","1,00",
16/06,SuperBet,pilhado-disp-traf-sb-d1,ODD 100 - D1 14/06 BASE SUPER,"R$ 196,70","4,69","410,00","272,00",,"66,34%","0,00%","R$ 53,30","1,22%","0,24%","R$ 10,66","R$ 53,30","5,00","1,00","1,00",
