DATA,CASA,UTM/PID
13/07,SuperBet,pilhado-disp-traf-sb-d1
13/07,MGMBET,13398
13/07,MGMBET,13538
13/07,MGMBET,13540
13/07,SuperBet,pilhado-disp-traf-sb-d5
13/07,SuperBet,pilhado-disp-traf-mgm-d5-sb
13/07,SuperBet,pilhado-disp-bete-d5-sb
14/07,SuperBet, pilhado-disp-total-semifinal-01
14/07,MGMBET,13398
14/07,MGMBET,13538
14/07,SuperBet,pilhado-disp-traf-mgm-d5-sb
14/07,SuperBet,pilhado-disp-traf-bete-d5-sb
14/07,SuperBet,pilhado-disp-traf-vaidebet-d5-sb
14/07,MGMBET,13422
14/07,MGMBET,13542
15/07,SuperBet,pilhado-disp-total-semifinal-02
15/07,MGMBET,13398
15/07,SuperBet,pilhado-disp-traf-mgm-d5-sb
15/07,SuperBet,pilhado-disp-traf-bete-d5-sb
15/07,SuperBet,pilhado-disp-traf-vaidebet-d5-sb
15/07,MGMBET,13422
15/07,MGMBET,13542
15/07,MGMBET,13544
15/07,MGMBET,13548
16/07,SEM CASA,-
16/07,SuperBet,pilhado-disp-traf-sb-d1
16/07,MGMBET,13398
16/07,SuperBet,pilhado-disp-traf-sb-d5
16/07,SuperBet,pilhado-disp-traf-mgm-d5-sb
17/07,SuperBet,pilhado-disp-traf-mgm-d1
17/07,SuperBet,pilhado-disp-traf-sb-d1
17/07,SuperBet,pilhado-disp-traf-sb-d5
17/07,SuperBet,pilhado-disp-traf-mgm-d5-sb
18/07,SuperBet,pilhado-disp-traf-sb-d1
18/07,SuperBet,pilhado-disp-traf-mgm-d1
18/07,SuperBet,pilhado-disp-traf-bete-d1
18/07,MGMBET,13398
18/07,SuperBet,pilhado-disp-traf-sb-d5
19/07,SuperBet,pilhado-disp-traf-sb-d1
19/07,SuperBet,pilhado-disp-traf-mgm-d1
19/07,SuperBet,pilhado-disp-traf-bete-d1
19/07,SuperBet,pilhado-disp-traf-d1-ouro
19/07,MGMBET,13398
19/07,MGMBET,13538
19/07,NoviBet,-
19/07,NoviBet,-
