DATA,CASA,UTM,DATE_API,REGISTROS,FTDS,CPAS,STATUS
01/06,MGM,,,,,,ignorada (casa não mapeada ou utm inválido)
01/06,SuperBet,,,,,,ignorada (casa não mapeada ou utm inválido)
04/06,SuperBet,pilhado-disp-traf-bs-sb-d1,2026-06-04,0,0,0,ok
04/06,MGM,13396,,,,,ignorada (casa não mapeada ou utm inválido)
04/06,MGM,13397,,,,,ignorada (casa não mapeada ou utm inválido)
05/06,SuperBet,pilhado-disp-traf-bs-sb-d1,2026-06-05,0,0,0,ok
05/06,MGM,13396,,,,,ignorada (casa não mapeada ou utm inválido)
05/06,MGM,13397,,,,,ignorada (casa não mapeada ou utm inválido)
05/06,MGM,13398,,,,,ignorada (casa não mapeada ou utm inválido)
05/06,SuperBet,pilhado-disp-traf-mgm-d3,2026-06-05,32,16,16,ok
05/06,SuperBet,pilhado-disp-traf-mgm-d3,2026-06-05,32,16,16,ok
06/06,MGM,13393,,,,,ignorada (casa não mapeada ou utm inválido)
07/06,SuperBet,pilhado-disp-traf-bs-sb-d1,2026-06-07,0,0,0,ok
07/06,MGM,13396,,,,,ignorada (casa não mapeada ou utm inválido)
07/06,MGM,13397,,,,,ignorada (casa não mapeada ou utm inválido)
07/06,MGM,13423,,,,,ignorada (casa não mapeada ou utm inválido)
08/06,SuperBet,pilhado-disp-traf-bs-sb-d1,2026-06-08,0,0,0,ok
08/06,MGM,13396,,,,,ignorada (casa não mapeada ou utm inválido)
08/06,MGM,13423,,,,,ignorada (casa não mapeada ou utm inválido)
09/06,SuperBet,pilhado-disp-traf-bs-sb-d1,2026-06-09,0,0,0,ok
09/06,MGM,13396,,,,,ignorada (casa não mapeada ou utm inválido)
09/06,MGM,13397,,,,,ignorada (casa não mapeada ou utm inválido)
09/06,MGM,13423,,,,,ignorada (casa não mapeada ou utm inválido)
09/06,MGM,13398,,,,,ignorada (casa não mapeada ou utm inválido)
09/06,SuperBet,pilhado-disp-traf-mgm-d3,2026-06-09,14,8,8,ok
09/06,SuperBet,pilhado-disp-traf-esp-d3,2026-06-09,142,72,72,ok
09/06,SuperBet,pilhado-disp-traf-bete-d3,2026-06-09,65,42,42,ok
10/06,SuperBet,pilhado-disp-traf-bs-sb-d1,2026-06-10,0,0,0,ok
10/06,MGM,13396,,,,,ignorada (casa não mapeada ou utm inválido)
10/06,MGM,13397,,,,,ignorada (casa não mapeada ou utm inválido)
10/06,MGM,13398,,,,,ignorada (casa não mapeada ou utm inválido)
10/06,SuperBet,pilhado-disp-traf-mgm-d3,2026-06-10,5,2,2,ok
10/06,SuperBet,pilhado-disp-traf-bete-d3,2026-06-10,8,5,5,ok
10/06,KingPanda,-,,,,,ignorada (casa não mapeada ou utm inválido)
10/06,KingPanda,-,,,,,ignorada (casa não mapeada ou utm inválido)
10/06,KingPanda,-,,,,,ignorada (casa não mapeada ou utm inválido)
10/06,KingPanda,-,,,,,ignorada (casa não mapeada ou utm inválido)
11/06,SuperBet,pilhado-disp-traf-bs-sb-d1,2026-06-11,0,0,0,ok
11/06,MGM,13396,,,,,ignorada (casa não mapeada ou utm inválido)
11/06,MGM,13398,,,,,ignorada (casa não mapeada ou utm inválido)
11/06,SuperBet,pilhado-disp-traf-mgm-d3,2026-06-11,2,2,2,ok
11/06,SuperBet,pilhado-disp-traf-esp-d3,2026-06-11,0,0,0,ok
11/06,SuperBet,pilhado-disp-traf-bete-d3,2026-06-11,4,1,1,ok
11/06,SuperBet,pilhado-disp-traf-sb-d5,2026-06-11,0,0,0,ok
11/06,MGM,13399,,,,,ignorada (casa não mapeada ou utm inválido)
11/06,MGM,13400,,,,,ignorada (casa não mapeada ou utm inválido)
11/06,MGM,13394,,,,,ignorada (casa não mapeada ou utm inválido)
12/06,SuperBet,pilhado-disp-traf-bs-sb-d1,2026-06-12,0,0,0,ok
